,ID,pca_species,COII_GenBank_Accession_Number,sex,pop,year,longitude,latitude,,note:,Cassibile=SP04+MP+SP104+Cassibile+FontaneBianche,,,,,,,,,,
A71,A71,lynceorum,OR724095,F,SP04,2017,15.034707,36.978432,,note:,Cefalu=SantAmbrogio+Cefalu,,,,,,,,,,
A72,,,,F,Scopello,2017,12.813687,38.06703,,note:,Scopello=Scopello+ScopelloNord,,,,,,,,,,
A93,,rossius,,F,Grosseto,2017,15.04182254,36.95460292,,,From the 561 individuals we generated 554 (396 already published + 158 new) RADsequencing datasets and nine (1 published + 8 new) whole genome datasets. Two individuals were used for generating both types of data (Gela4 and C58),,,,,,,,,,
A94,,rossius,,F,Grosseto,2017,15.04182254,36.95460292,,,,,,,,,,,,,
A95,,rossius,,F,Grosseto,2017,15.04182254,36.95460292,,,,,,,,,,,,,
B01,B01,benazzii,-,NA,Scopello,2017,12.813687,38.06703,,,,,,,,,,,,,
B07,B07,NW F1 hybrids,-,F,Scopello,2017,12.813687,38.06703,,,,,,,,,,,,,
B11,B11,benazzii,OR724104,NA,Scopello,2017,12.813687,38.06703,,,,,,,,,,,,,
B12,B12,benazzii,OR724105,F,Scopello,2017,12.813687,38.06703,,,,,,,,,,,,,
B16,B16,rossius,-,F,Scopello,2017,12.813687,38.06703,,,,,,,,,,,,,
B83,,rossius,,M,"La Ciotat, Figuerolles",2018,5.597489,43.166961,,,,,,,,,,,,,
B85,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B86,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B87,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B88,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B90,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B91,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B92,,rossius,,F,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B93,,rossius,,NA,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B94,,rossius,,M,"La Ciotat, av. gare",2018,5.624613,43.198084,,,,,,,,,,,,,
B95,B95,rossius,OR724125,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
B96,B96,benazzii,OR724126,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
B99,B99,benazzii,OR724127,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C01,C01,benazzii,OR724128,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C02,C02,rossius,OR724129,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C03,C03,NW F1 hybrids,OR724130,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C05,C05,maretimi,OR724131,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
C06,C06,maretimi,OR724132,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
C07,C07,maretimi,OR724133,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
C08,C08,maretimi,OR724134,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
C09,C09,maretimi,OR724135,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
C10,C10,maretimi,OR724136,NA,Marettimo,2018,12.078274,37.958318,,,,,,,,,,,,,
C24,C24,benazzii,OR724137,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C26,C26,benazzii,OR724138,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C27,C27,benazzii,OR724139,M,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C28,C28,rossius,OR724140,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C29,C29,NW F1 hybrids,OR724141,M,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C30,C30,NW F1 hybrids,OR724142,M,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C31,C31,rossius,OR724143,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C32,C32,benazzii,OR724144,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C33,C33,rossius,OR724145,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C34,C34,benazzii,OR724146,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C35,C35,benazzii,OR724147,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C36,C36,benazzii,OR724148,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C37,C37,benazzii,OR724149,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C38,C38,rossius,OR724150,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C40,C40,rossius,OR724152,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C41,C41,benazzii,OR724153,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C42,C42,rossius,OR724154,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C43,C43,rossius,OR724155,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C44,C44,benazzii,OR724156,NA,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C45,C45,rossius,OR724157,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C46,,,,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C47,C47,benazzii,OR724159,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C48,C48,rossius,OR724160,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C49,C49,rossius,OR724161,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C50,C50,rossius,OR724162,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C51,C51,rossius,OR724163,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C52,C52,NW F1 hybrids,OR724164,M,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C53,C53,rossius,OR724165,F,Scopello,2018,12.813687,38.06703,,,,,,,,,,,,,
C54,C54,lynceorum,OR724166,NA,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C55,C55,whitei,OR724167,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C56,C56,whitei,OR724168,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C57,C57,whitei,OR724169,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C58,C58,atticus,OR724170,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C59,C59,atticus,OR724171,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C60,C60,SE hybridogen,OR724172,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C61,C61,atticus,OR724173,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C62,C62,atticus,OR724174,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C63,C63,whitei,OR724175,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C64,C64,atticus,OR724176,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C65,C65,atticus,OR724177,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C66,C66,whitei,OR724178,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C67,C67,whitei,OR724179,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C68,C68,whitei,OR724180,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C69,C69,whitei,OR724181,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C70,C70,whitei,OR724182,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C71,C71,whitei,OR724183,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C72,C72,whitei,OR724184,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C73,C73,whitei,OR724185,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C74,C74,whitei,OR724186,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C75,C75,whitei,OR724187,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C76,C76,whitei,OR724188,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C77,C77,whitei,OR724189,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C78,C78,whitei,OR724190,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C79,C79,whitei,OR724191,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C80,C80,whitei,OR724192,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C81,C81,whitei,OR724193,F,PalazzoloAcreide,2018,14.957433,37.040547,,,,,,,,,,,,,
C82,C82,grandii,OR724194,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C83,C83,grandii,OR724195,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C84,C84,whitei,OR724196,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C85,C85,whitei,OR724197,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C86,C86,grandii,OR724198,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C87,C87,grandii,OR724199,M,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C88,C88,SE hybridogen,OR724200,NA,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C89,C89,whitei,OR724201,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C90,C90,SE hybridogen,OR724202,F,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C91,C91,whitei,OR724203,NA,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C92,C92,grandii,OR724204,M,MP,2018,15.029407,36.980648,,,,,,,,,,,,,
C93,C93,grandii,OR724205,F,SP04,2018,15.034707,36.978432,,,,,,,,,,,,,
C95,C95,atticus,OR724206,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
C96,C96,atticus,OR724207,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
C98,C98,atticus,OR724208,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
C99,C99,atticus,OR724209,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D01,D01,whitei,OR724210,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D02,D02,whitei,OR724211,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D03,D03,atticus,OR724212,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D04,D04,SE hybridogen,OR724213,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D05,D05,grandii,OR724214,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D06,D06,grandii,OR724215,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D07,D07,grandii,OR724216,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D08,D08,SE hybridogen,OR724217,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D09,D09,SE hybridogen,OR724218,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D10,D10,whitei,OR724219,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D11,D11,grandii,OR724220,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D12,D12,SE hybridogen,OR724221,NA,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D13,D13,grandii,OR724222,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D14,D14,whitei,OR724223,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D15,D15,grandii,OR724224,F,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D16,D16,grandii,OR724225,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
D17,D17,grandii,OR724226,M,Cassibile,2018,15.047276,36.985315,,,,,,,,,,,,,
